CustomerID,Income,Limit,Rating,Cards,Balance
0013-SMEOEH,20.439,8517,506,4,25
0013-SMEOEW,19.389,2046,199,3,0
0013-SMEOEX,27.435,2131,185,2,0
0013-SMEOEZ,68.994,9537,448,6,462
0014-BMAQU,39.879,6830,467,3,1016
0014-BMAQUA,22.363,5339,361,4,130
0014-BMAQUC,12.484,8620,478,4,993
0014-BMAQUCH,111.35,3533,266,4,400
0014-BMAQUH,41.86,7228,621,5,1474
0014-BMAQUW,22.166,3966,182,2,0
0014-BMAQUX,34.392,4061,442,2,838
0014-BMAQUZ,29.552,1379,137,3,0
0015-UOCOJ,61.664,6887,696,2,1338
0015-UOCOJA,39.851,2889,291,1,0
0015-UOCOJC,44.055,5800,430,1,980
0015-UOCOJCH,12.745,6122,360,3,1299
0015-UOCOJH,23.383,1523,180,2,0
0015-UOCOJW,24.158,3297,281,5,7
0015-UOCOJX,50.677,5796,359,2,286
0015-UOCOJZ,27.175,3690,295,3,940
0016-QLJIS,63.979,3628,294,2,187
0016-QLJISA,14.773,1585,169,2,8
0016-QLJISC,94.831,6327,229,4,998
0016-QLJISCH,16.202,5300,314,3,305
0016-QLJISH,10.926,3748,299,3,0
0016-QLJISW,24.345,1311,130,2,0
0016-QLJISX,68.304,2026,209,3,0
0016-QLJISZ,30.119,4143,346,3,459
0017-DINOC,15.04,3372,268,3,440
0017-DINOCA,37.346,5616,404,4,1523
0017-DINOCC,42.306,4887,394,4,501
0017-DINOCCH,34.519,1161,153,3,0
0017-DINOCH,54.47,4140,337,2,305
0017-DINOCW,86.957,1479,142,3,6
0017-DINOCX,33.14,5051,390,3,662
0017-DINOCZ,23.38,2106,229,3,360
0017-IUDMW,24.729,8605,559,4,1448
0017-IUDMWA,68.46,9505,375,2,12
0017-IUDMWC,37.035,5214,364,3,573
0017-IUDMWCH,160.231,8644,548,2,323
0017-IUDMWH,49.229,5665,462,2,1326
0017-IUDMWW,15.797,3129,296,1,820
0017-IUDMWX,140.098,4129,349,3,805
0017-IUDMWZ,152.298,8614,687,4,689
0018-NYROU,36.593,2375,263,2,283
0018-NYROUA,57.907,4400,341,4,123
0018-NYROUC,15.024,3396,217,4,675
0018-NYROUCH,123.816,2618,621,4,0
0018-NYROUH,21.489,2570,221,2,0
0018-NYROUW,33.549,5924,345,1,846
0018-NYROUX,33.809,3338,226,2,151
0018-NYROUZ,16.51,3261,268,2,479
0019-EFAEP,25.286,5948,350,6,951
0019-EFAEPA,32.922,5058,349,6,693
0019-EFAEPC,37.034,5989,401,1,4
0019-EFAEPCH,45.626,2720,250,4,0
0019-EFAEPH,10.726,2544,157,3,0
0019-EFAEPW,36.045,2150,171,2,0
0019-EFAEPX,23.208,3826,181,2,0
0019-EFAEPZ,16.317,1990,151,3,5
0019-GFNTW,24.06,1530,175,2,0
0019-GFNTWA,24.445,4457,354,4,998
0019-GFNTWC,12.472,3776,299,1,620
0019-GFNTWCH,21.857,5283,352,2,665
0019-GFNTWH,42.781,3956,284,3,705
0019-GFNTWW,10.627,7870,396,2,422
0019-GFNTWX,17.762,1359,123,3,80
0019-GFNTWZ,51.508,3196,286,3,50
0020-INWCK,12.276,3689,236,5,0
0020-INWCKA,20.34,7788,529,5,1293
0020-INWCKC,152.964,7825,498,3,1386
0020-INWCKCH,16.337,2824,153,1,0
0020-INWCKH,37.726,3672,281,2,138
0020-INWCKW,49.553,2540,266,2,0
0020-INWCKX,79.076,1310,166,3,103
0020-INWCKZ,33.672,1359,140,3,0
0020-JDNXP,84.801,2723,182,2,0
0020-JDNXPA,43.512,9246,628,5,1148
0020-JDNXPC,15.054,5564,416,4,770
0020-JDNXPCH,17.099,4133,177,3,715
0020-JDNXPH,23.58,6412,459,3,1403
0020-JDNXPW,14.202,1509,132,1,0
0020-JDNXPX,12.194,2270,144,4,0
0020-JDNXPZ,108.826,2776,609,4,1072
0021-IKXGC,51.75,5116,486,4,661
0021-IKXGCA,32.99,5090,423,3,1028
0021-IKXGCC,112.093,5693,546,4,358
0021-IKXGCCH,24.572,5261,400,3,451
0021-IKXGCH,14,3561,269,3,194
0021-IKXGCW,47.429,4620,357,3,323
0021-IKXGCX,24.046,3159,270,4,69
0021-IKXGCZ,59.817,5095,328,3,0
0022-TCJCI,35.579,1311,129,2,0
0022-TCJCIA,75.252,6293,430,2,1349
0022-TCJCIC,44.864,5809,379,1,491
0022-TCJCICH,43.67,2448,120,4,0
0022-TCJCIH,149.593,10384,488,4,1597
0022-TCJCIW,31.067,2565,257,3,0
0022-TCJCIX,36.489,3748,289,3,322
0022-TCJCIZ,130.465,7755,578,1,438
0023-HGHWL,30.798,2015,234,3,21
0023-HGHWLA,24.112,7960,223,5,1415
0023-HGHWLC,36.159,2775,126,4,0
0023-HGHWLCH,11.579,1404,135,1,0
0023-HGHWLH,13.431,5206,377,2,507
0023-HGHWLW,68.189,4422,334,4,413
0023-HGHWLX,24.52,3840,236,3,141
0023-HGHWLZ,56.171,2634,138,3,0
0023-UYUPN,17.532,2157,123,3,0
0023-UYUPNA,63.259,4382,304,2,287
0023-UYUPNC,37.405,4011,368,1,589
0023-UYUPNCH,30.305,1965,127,2,0
0023-UYUPNH,10.735,4674,374,3,229
0023-UYUPNW,35.449,4025,327,5,289
0023-UYUPNX,125.162,1331,178,3,0
0023-UYUPNZ,73.489,2250,286,2,40
0023-XUOPT,41.265,7410,354,5,299
0023-XUOPTA,10.735,1478,194,1,0
0023-XUOPTC,67.169,2943,261,6,0
0023-XUOPTCH,159.648,11148,730,2,407
0023-XUOPTH,33.977,7977,269,2,724
0023-XUOPTW,39.765,5631,435,2,730
0023-XUOPTX,117.265,3500,283,2,195
0023-XUOPTZ,19.143,5301,333,2,418
0027-KWYKW,28.192,2790,266,4,182
0027-KWYKWA,44.422,1160,227,5,0
0027-KWYKWC,22.869,1317,284,3,0
0027-KWYKWCH,25.084,1233,517,4,1000
0027-KWYKWH,27.78,3841,225,4,0
0027-KWYKWW,21.32,6602,388,3,860
0027-KWYKWX,60.333,4417,350,3,165
0027-KWYKWZ,19.98,5684,346,3,775
0030-FNXPP,55.957,3080,365,4,0
0030-FNXPPA,16.408,1445,146,6,0
0030-FNXPPC,33.926,3726,286,4,151
0030-FNXPPCH,13.013,4917,334,5,895
0030-FNXPPH,68.772,5408,363,5,136
0030-FNXPPW,62.401,8731,509,2,67
0030-FNXPPX,20.011,2374,163,1,204
0030-FNXPPZ,139.709,5680,305,4,1143
0031-PVLZI,14.966,2436,127,1,0
0031-PVLZIA,51.043,2907,196,3,0
0031-PVLZIC,10.635,3960,281,4,466
0031-PVLZICH,10.627,4581,330,3,391
0031-PVLZIH,107.044,4830,519,6,440
0031-PVLZIW,14.532,1708,179,2,0
0031-PVLZIX,15.472,4223,345,5,318
0031-PVLZIZ,31.765,1681,119,2,0
0032-PGELS,45.28,2112,256,4,0
0032-PGELSA,75.689,2141,161,3,0
0032-PGELSC,33.928,2503,129,4,0
0032-PGELSCH,16.205,6717,437,5,886
0032-PGELSH,30.411,3929,316,4,235
0032-PGELSW,126.522,8231,350,2,977
0032-PGELSX,43.229,7321,403,2,1081
0032-PGELSZ,23.508,2912,165,4,0
0036-IHMOT,43.992,3390,266,4,8
0036-IHMOTA,16.974,5263,301,4,537
0036-IHMOTC,12.322,2570,120,2,10
0036-IHMOTCH,66.55,6407,499,4,1143
0036-IHMOTH,11.749,8213,413,2,1143
0036-IHMOTW,48.502,4343,334,1,430
0036-IHMOTX,16.089,8070,140,3,0
0036-IHMOTZ,50.81,3849,309,2,670
0040-HALCW,25.03,5478,435,4,332
0040-HALCWA,31.024,6190,293,4,371
0040-HALCWC,17.393,3160,281,4,866
0040-HALCWCH,32.73,2577,193,2,0
0040-HALCWH,15.737,3123,267,2,166
0040-HALCWW,11.311,1300,119,4,0
0040-HALCWX,49.501,5565,580,3,61
0040-HALCWZ,33.383,1927,170,3,0
0042-JVWOJ,18.171,4206,465,3,411
0042-JVWOJA,13.582,7167,432,5,1045
0042-JVWOJC,21.06,4873,368,3,613
0042-JVWOJCH,46.852,5216,399,1,818
0042-JVWOJH,68.172,4198,334,2,339
0042-JVWOJW,29.735,3361,394,1,297
0042-JVWOJX,30.482,2593,167,2,0
0042-JVWOJZ,23.302,5368,303,2,399
0042-RLHYP,77.199,2187,223,1,10
0042-RLHYPA,53.417,8696,453,4,912
0042-RLHYPC,30.863,10384,294,3,194
0042-RLHYPCH,43.705,3837,286,7,414
0042-RLHYPH,14.862,4773,399,3,828
0042-RLHYPW,62.515,4320,386,3,688
0042-RLHYPX,143.427,5088,460,4,1448
0042-RLHYPZ,23.363,4366,317,2,648
0048-LUMLS,140.915,8341,486,1,769
0048-LUMLSA,69.672,5249,375,2,539
0048-LUMLSC,53.076,7132,569,3,580
0048-LUMLSCH,15.337,2964,228,4,0
0048-LUMLSH,11.909,5931,306,4,718
0048-LUMLSW,31.014,4083,312,4,242
0048-LUMLSX,29.324,3571,270,2,67
0048-LUMLSZ,27.452,4975,370,3,20
0048-PIHNL,23.047,2809,227,3,0
0048-PIHNLA,92.035,7240,649,1,583
0048-PIHNLC,39.219,8335,429,5,1054
0048-PIHNLCH,66.9,4110,779,3,1498
0048-PIHNLH,65.912,8204,527,3,1573
0048-PIHNLW,22.08,1530,127,1,0
0048-PIHNLX,32.508,2553,232,4,0
0048-PIHNLZ,19.042,3834,247,5,401
0052-DCKON,53.148,6120,521,3,0
0052-DCKONA,46.952,7189,432,3,578
0052-DCKONC,17.137,1300,381,1,173
0052-DCKONCH,26.966,3229,243,2,636
0052-DCKONH,61.361,5107,416,1,444
0052-DCKONW,10.735,2771,232,4,68
0052-DCKONX,21.305,3202,281,3,246
0052-DCKONZ,43.167,3807,266,4,495
0052-YNYOT,24,2786,152,3,0
0052-YNYOTA,15.165,4346,345,3,481
0052-YNYOTC,71.837,4613,429,4,683
0052-YNYOTCH,60.324,1311,300,1,55
0052-YNYOTH,66.103,2569,122,2,0
0052-YNYOTW,41.445,4810,437,1,978
0052-YNYOTX,14.976,3626,277,3,181
0052-YNYOTZ,77.181,6403,217,3,877
0056-EPFBG,21.355,4991,372,3,800
0056-EPFBGA,37.275,4396,336,6,5
0056-EPFBGC,57.195,5047,301,2,951
0056-EPFBGCH,32.616,8850,230,3,6
0056-EPFBGH,81.223,5432,316,1,838
0056-EPFBGW,69.977,4449,319,2,0
0056-EPFBGX,25.952,2959,167,3,0
0056-EPFBGZ,146.171,2327,179,4,0
0057-QBUQH,33.469,4298,347,2,80
0057-QBUQHA,29.264,3719,233,1,120
0057-QBUQHC,44.773,5103,503,5,500
0057-QBUQHCH,141.795,1308,610,4,1500
0057-QBUQHH,24.959,3265,291,2,664
0057-QBUQHW,27.572,5267,417,2,1253
0057-QBUQHX,54.45,1207,275,2,0
0057-QBUQHZ,34.105,1300,150,5,6
0058-EVZWM,15.742,3771,281,2,323
0058-EVZWMA,19.46,3262,206,2,0
0058-EVZWMC,14.571,2572,120,1,0
0058-EVZWMCH,63.375,1780,135,3,0
0058-EVZWMH,13.446,3053,296,4,468
0058-EVZWMW,12.086,1830,146,2,90
0058-EVZWMX,15.499,2004,296,1,50
0058-EVZWMZ,36.259,3364,277,2,355
0060-FUALY,29.146,6935,519,5,978
0060-FUALYA,23.543,6508,317,3,918
0060-FUALYC,19.456,5765,506,4,889
0060-FUALYCH,27.275,3856,379,4,264
0060-FUALYH,15.041,1597,133,2,0
0060-FUALYW,10.726,1510,120,3,0
0060-FUALYX,66.915,5667,478,2,872
0060-FUALYZ,13.818,1462,140,4,0
0064-SUDOG,31.677,5139,352,4,593
0064-SUDOGA,36.58,5521,314,3,939
0064-SUDOGC,28.06,7856,607,3,1000
0064-SUDOGCH,62.347,6103,380,1,142
0064-SUDOGH,86.556,2104,221,3,0
0064-SUDOGW,58.509,1725,146,3,0
0064-SUDOGX,76.171,9593,236,3,1142
0064-SUDOGZ,23.842,1461,178,3,0
0064-YIJGF,120.52,4732,397,6,918
0064-YIJGFA,119.83,4847,307,1,148
0064-YIJGFC,38.24,1378,122,3,0
0064-YIJGFCH,95.884,2021,224,4,0
0064-YIJGFH,14.982,1985,126,7,0
0064-YIJGFW,57.403,4728,403,3,908
0064-YIJGFX,45.252,3906,475,3,593
0064-YIJGFZ,23.18,8318,179,3,0
0067-DKWBL,36.754,3189,291,3,505
0067-DKWBLA,73.437,6850,389,3,0
0067-DKWBLC,15.789,2587,154,2,0
0067-DKWBLCH,30.9,7643,563,6,977
0067-DKWBLH,30.61,7114,583,4,1587
0067-DKWBLW,137.089,5436,418,3,458
0067-DKWBLX,109.025,10673,366,5,778
0067-DKWBLZ,58.885,5450,689,1,767
0068-FIGTF,76.354,1570,186,3,0
0068-FIGTFA,19.329,5171,497,1,480
0068-FIGTFC,21.708,3010,201,4,210
0068-FIGTFCH,14.066,4167,339,4,958
0068-FIGTFH,37.464,7121,768,2,998
0068-FIGTFW,51.316,1332,121,3,0
0068-FIGTFX,154.992,1300,521,5,403
0068-FIGTFZ,39.203,3230,216,2,2
0071-NDAFP,17.267,3542,186,5,0
0071-NDAFPA,103.117,7756,537,5,187
0071-NDAFPC,149.472,3486,299,2,228
0071-NDAFPCH,29.768,4429,397,5,131
0071-NDAFPH,14.72,1750,172,4,0
0071-NDAFPW,28.833,1926,120,4,0
0071-NDAFPX,35.771,2205,169,3,0
0071-NDAFPZ,29.041,4003,320,2,1448
0074-HDKDG,50.346,6766,439,3,1321
0074-HDKDGA,35.492,5779,444,2,1504
0074-HDKDGC,25.978,3307,283,3,95
0074-HDKDGCH,38.145,4172,367,4,634
0074-HDKDGH,73.199,2250,294,3,0
0074-HDKDGW,14.118,5002,382,2,703
0074-HDKDGX,115.52,4663,395,3,935
0074-HDKDGZ,40.803,7920,599,4,1283
0076-LVEPS,124.435,6873,424,2,1227
0076-LVEPSA,24.59,3585,281,1,668
0076-LVEPSC,32.989,6621,231,6,10
0076-LVEPSCH,14.176,4326,328,2,601
0076-LVEPSH,29.572,9881,523,2,1009
0076-LVEPSW,21.408,3616,263,2,174
0076-LVEPSX,41.439,4278,335,1,738
0076-LVEPSZ,16.364,1134,128,3,0
0078-XZMHT,59.57,3031,283,3,73
0078-XZMHTA,13.7,2430,139,3,0
0078-XZMHTC,14.542,2054,233,3,8
0078-XZMHTCH,29.496,5070,339,3,52
0078-XZMHTH,24.378,2638,289,3,0
0078-XZMHTW,23.404,2427,199,4,0
0078-XZMHTX,41.532,5990,365,4,275
0078-XZMHTZ,45.755,3428,294,3,131
0080-EMYVY,32.448,1194,232,4,964
0080-EMYVYA,129.032,6163,422,2,1358
0080-EMYVYC,26.585,5147,386,3,351
0080-EMYVYCH,26.028,4041,399,5,908
0080-EMYVYH,55.849,6076,249,2,209
0080-EMYVYW,95.148,5633,360,2,111
0080-EMYVYX,103.217,10673,256,2,1151
0080-EMYVYZ,39.049,3842,566,3,343
0080-OROZO,37.853,2179,291,2,160
0080-OROZOA,21.332,4951,433,3,442
0080-OROZOC,101.1,3413,541,4,1068
0080-OROZOCH,25.382,4093,337,4,288
0080-OROZOH,33.741,2177,185,3,0
0080-OROZOW,141.638,1134,627,4,598
0080-OROZOX,71.032,7136,586,3,1070
0080-OROZOZ,33.237,3976,262,5,0
0082-LDZUE,57.429,3927,278,2,121
0082-LDZUEA,49.407,1134,261,2,577
0082-LDZUEC,21.435,3618,554,3,893
0082-LDZUECH,36.737,2018,123,3,50
0082-LDZUEH,36.616,4893,311,4,317
0082-LDZUEW,155.067,1706,141,2,0
0082-LDZUEX,27.103,5121,303,2,186
0082-LDZUEZ,19.772,6828,419,2,1271
0082-OQIQY,20.335,2393,231,3,996
0082-OQIQYA,21.844,3831,375,2,231
0082-OQIQYC,69.332,11200,268,4,60
0082-OQIQYCH,41.587,1233,318,3,1419
0082-OQIQYH,11.027,2570,192,2,0
0082-OQIQYW,31.896,3447,237,1,241
0082-OQIQYX,23.099,7700,537,4,778
0082-OQIQYZ,45.195,4934,353,1,864
0083-PIVIK,61.34,5893,540,2,591
0083-PIVIKA,56.17,2449,167,2,0
0083-PIVIKC,51.755,4186,310,2,267
0083-PIVIKCH,33.839,2719,266,3,0
0083-PIVIKH,83.567,5626,487,4,1082
0083-PIVIKW,15.291,1965,235,2,0
0083-PIVIKX,17.739,3169,218,5,262
0083-PIVIKZ,29.244,5095,407,3,1597
0089-IIQKO,24.151,3469,233,1,253
0089-IIQKOA,37.539,5606,309,1,915
0089-IIQKOC,13.208,5132,313,1,395
0089-IIQKOCH,63.123,6061,478,4,844
0089-IIQKOH,11.842,5821,550,2,282
0089-IIQKOW,20.57,4728,344,3,970
0089-IIQKOX,69.356,6577,428,3,455
0089-IIQKOZ,48.759,2930,265,2,0
0093-EXYQL,20.855,5966,389,6,855
0093-EXYQLA,29.059,5240,398,1,969
0093-EXYQLC,16.437,1580,182,3,0
0093-EXYQLCH,45.975,5245,357,6,1161
0093-EXYQLH,37.295,3240,255,1,441
0093-EXYQLW,160.231,6903,509,2,1132
0093-EXYQLX,12.872,4404,387,3,306
0093-EXYQLZ,20.797,5560,423,4,1587
0093-XWZFY,16.151,5201,496,1,801
0093-XWZFYA,77.339,5610,487,5,652
0093-XWZFYC,124.869,1709,160,3,0
0093-XWZFYCH,45.529,6454,489,4,1558
0093-XWZFYH,53.989,5571,487,6,913
0093-XWZFYW,35.397,2930,260,2,182
0093-XWZFYX,48.357,1380,181,2,0
0093-XWZFYZ,18.735,3834,262,3,285
0094-OIFMO,19.489,5106,770,3,1549
0094-OIFMOA,132.85,8180,458,2,1463
0094-OIFMOC,152.298,2928,289,3,0
0094-OIFMOCH,23.325,3232,283,6,0
0094-OIFMOH,19.179,5195,381,2,793
0094-OIFMOW,29.599,4208,313,3,951
0094-OIFMOX,32.41,4537,447,6,649
0094-OIFMOZ,59.592,3372,233,2,212
0096-BXERS,27.259,6601,459,4,709
0096-BXERSA,46.017,1460,278,3,9
0096-BXERSC,58.011,5810,318,2,479
0096-BXERSCH,133.583,3847,382,5,279
0096-BXERSH,20.232,3370,534,3,5
0096-BXERSW,24.829,3345,289,6,527
0096-BXERSX,11.479,2401,125,4,0
0096-BXERSZ,27.07,3100,289,2,92
0096-FCPUF,23.073,1740,169,1,0
0096-FCPUFA,148.31,2520,142,5,0
0096-FCPUFC,156.505,2759,229,2,9
0096-FCPUFCH,24.102,3871,292,1,568
0096-FCPUFH,10.735,1563,132,1,1000
0096-FCPUFW,37.708,3191,216,3,143
0096-FCPUFX,58.458,5750,589,5,493
0096-FCPUFZ,39.94,5378,494,3,560
0098-BOWSO,20.527,5574,389,4,337
0098-BOWSOA,29.39,1341,126,2,0
0098-BOWSOC,33.211,1142,171,4,0
0098-BOWSOCH,48.438,2952,231,2,295
0098-BOWSOH,50.354,3942,258,3,138
0098-BOWSOW,48.66,5672,448,3,458
0098-BOWSOX,15.6,2130,136,2,0
0098-BOWSOZ,10.726,3804,263,5,779
0100-DUVFC,43.869,9547,421,7,1573
0100-DUVFCA,25.7,1160,471,2,850
0100-DUVFCC,151.947,4435,364,2,263
0100-DUVFCCH,57.305,4132,363,3,539
0100-DUVFCH,45.159,2539,184,5,0
0100-DUVFCW,19.921,5602,395,2,475
0100-DUVFCX,33.519,4231,319,3,241
0100-DUVFCZ,13.462,3633,273,2,300
0103-CSITQ,12.629,4903,328,4,113
0103-CSITQA,44.4,5701,308,5,439
0103-CSITQC,12.09,3682,292,2,733
0103-CSITQCH,59.529,2480,122,2,0
0103-CSITQH,27.153,2535,289,2,4
0103-CSITQW,20.271,5563,367,3,968
0103-CSITQX,24.542,6336,289,4,207
0103-CSITQZ,158.889,5907,488,4,861
0104-PPXDV,158.273,11196,722,2,92
0104-PPXDVA,68.124,7561,589,2,0
0104-PPXDVC,10.635,4355,342,4,692
0104-PPXDVCH,12.435,1382,131,2,0
0104-PPXDVH,15.405,5639,411,2,334
0104-PPXDVW,30.807,4543,314,1,518
0104-PPXDVX,70.766,4168,321,3,900
0104-PPXDVZ,16.727,2169,188,2,50
0106-GHRQR,14.497,3706,212,1,383
0106-GHRQRA,95.401,4496,304,2,173
0106-GHRQRC,94.491,9310,687,2,4
0106-GHRQRCH,29.102,5259,303,2,737
0106-GHRQRH,75.293,3452,223,2,115
0106-GHRQRW,29.779,1509,155,2,0
0106-GHRQRX,59.979,4496,331,2,1159
0106-GHRQRZ,94.628,2903,154,6,0
0106-UGRDO,18.61,2793,152,1,0
0106-UGRDOA,26.976,2612,194,3,0
0106-UGRDOC,13.376,1261,187,3,0
0106-UGRDOCH,47.527,1634,141,2,0
0106-UGRDOH,158.889,7540,487,2,1035
0106-UGRDOW,23.142,6552,494,3,1538
0106-UGRDOX,18.937,2803,238,2,0
0106-UGRDOZ,53.792,4833,343,2,739
0107-WESLM,47.264,3263,271,1,415
0107-WESLMA,13.37,1233,168,2,0
0107-WESLMC,23.89,2920,231,3,500
0107-WESLMCH,58.536,2820,157,3,0
0107-WESLMH,159.139,3526,282,4,433
0107-WESLMW,119.758,2604,538,3,193
0107-WESLMX,30.147,2796,120,2,50
0107-WESLMZ,57.319,4962,355,3,233
0107-YHINA,23.179,2903,293,2,0
0107-YHINAA,19.245,4432,350,3,229
0107-YHINAC,39.947,5625,345,5,245
0107-YHINACH,48.561,5315,387,2,948
0107-YHINAH,19.032,4101,381,3,715
0107-YHINAW,36.482,5509,498,3,631
0107-YHINAX,31.814,1382,144,2,0
0107-YHINAZ,19.417,5752,367,3,965
0111-KLBQG,123.028,3021,412,4,1114
0111-KLBQGA,16.32,3205,297,2,907
0111-KLBQGC,14.575,3699,256,3,312
0111-KLBQGCH,64.125,4522,332,5,824
0111-KLBQGH,94.791,8866,421,2,805
0111-KLBQGW,27.734,3328,299,4,851
0111-KLBQGX,60.376,4624,337,3,277
0111-KLBQGZ,94.504,1160,466,1,667
0112-QAWRZ,66.001,5809,476,2,441
0112-QAWRZA,59.442,9551,368,2,746
0112-QAWRZC,17.7,2567,196,5,0
0112-QAWRZCH,46.479,8778,449,3,1433
0112-QAWRZH,10.627,5120,368,4,599
0112-QAWRZW,18.992,4577,337,1,435
0112-QAWRZX,12.445,4891,396,2,260
0112-QAWRZZ,69.914,5318,320,4,101
0112-QWPNC,10.735,1341,127,2,0
0112-QWPNCA,15.7,3005,321,4,8
0112-QWPNCC,13.908,6783,416,1,145
0112-QWPNCCH,18.656,6216,445,4,824
0112-QWPNCH,26.353,5514,343,4,1000
0112-QWPNCW,135.503,1720,326,2,5
0112-QWPNCX,36.99,2937,237,4,221
0112-QWPNCZ,15.171,3378,223,3,0
0114-IGABW,40.347,9100,477,1,151
0114-IGABWA,46.357,6933,567,2,955
0114-IGABWC,17.585,3128,259,3,616
0114-IGABWCH,10.65,4156,323,5,517
0114-IGABWH,57.063,4322,313,5,450
0114-IGABWW,51.605,3538,226,2,95
0114-IGABWX,75.74,6280,438,4,786
0114-IGABWZ,22.579,2230,147,2,0
0114-PEGZZ,160.231,8130,720,1,1448
0114-PEGZZA,68.501,7242,522,5,934
0114-PEGZZC,52.364,5356,434,4,664
0114-PEGZZCH,10.759,2839,170,4,0
0114-PEGZZH,66.474,2665,298,4,0
0114-PEGZZW,23.627,5152,411,4,871
0114-PEGZZX,23.971,3961,251,2,40
0114-PEGZZZ,12.325,3198,289,1,1348
0114-RSRRW,36.31,6867,449,3,708
0114-RSRRWA,18.781,2111,180,3,0
0114-RSRRWC,49.307,5621,532,3,1556
0114-RSRRWCH,108.422,6126,404,2,142
0114-RSRRWH,26.616,2889,329,4,0
0114-RSRRWW,144.799,7941,434,2,126
0114-RSRRWX,152.298,10748,298,3,494
0114-RSRRWZ,10.742,5944,513,4,891
0115-TFERT,43.589,2735,292,2,575
0115-TFERTA,37.614,5853,329,3,948
0115-TFERTC,50.532,5650,380,2,392
0115-TFERTCH,30.89,4114,313,4,650
0115-TFERTH,30.791,6377,496,5,243
0115-TFERTW,78.509,5784,449,3,683
0115-TFERTX,10.777,4669,340,4,795
0115-TFERTZ,61.934,2803,181,1,0
0117-LFRMW,30.882,7130,369,3,45
0117-LFRMWA,12.36,2237,175,2,2
0117-LFRMWC,49.582,7945,582,3,1549
0117-LFRMWCH,31.852,2427,221,2,0
0117-LFRMWH,21.151,6888,513,2,323
0117-LFRMWW,30.256,5142,494,1,691
0117-LFRMWX,16.134,2340,142,3,0
0117-LFRMWZ,13.405,4325,376,1,898
0118-JPNOY,37.123,5862,460,2,1567
0118-JPNOYA,25.553,1971,129,5,0
0118-JPNOYC,17.909,2881,263,2,109
0118-JPNOYCH,60.309,4992,304,4,132
0118-JPNOYH,149.884,5220,486,5,1549
0118-JPNOYW,43.889,2804,269,3,0
0118-JPNOYX,58.409,3841,292,3,245
0118-JPNOYZ,33.888,4504,344,3,907
0121-SNYRK,90.866,5932,319,2,685
0121-SNYRKA,20.253,7682,277,4,6
0121-SNYRKC,36.039,2055,138,1,0
0121-SNYRKCH,37.706,3795,264,3,373
0121-SNYRKH,12.474,6476,328,2,838
0121-SNYRKW,65.87,10384,316,1,3
0121-SNYRKX,13.231,4334,322,2,621
0121-SNYRKZ,160.231,6653,487,1,781
0122-OAHPZ,49.624,8923,391,2,1467
0122-OAHPZA,41.534,4598,357,2,589
0122-OAHPZC,118.064,4004,398,2,383
0122-OAHPZCH,29.96,3519,275,3,684
0122-OAHPZH,42.779,5129,339,3,845
